property,object,subject,DBPEDIA_COUNTRY
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2006,Greece,http://dbpedia.org/resource/Greece
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adg2004,USA,http://dbpedia.org/resource/UnitedStates
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2008,Finland,http://dbpedia.org/resource/Finland
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adg2010,Germany,http://dbpedia.org/resource/Germany
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adbis2010,Serbia,http://dbpedia.org/resource/Serbia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adg2006,Spain,http://dbpedia.org/resource/Spain
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adg1996,France,http://dbpedia.org/resource/France
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adg2000,Switzerland,http://dbpedia.org/resource/Switzerland
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adg2002,Austria,http://dbpedia.org/resource/Austria
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhocnets2010,Canada,http://dbpedia.org/resource/Canada
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adg2012,UK,http://dbpedia.org/resource/United_Kingdom
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhoc-now2006,Canada,http://dbpedia.org/resource/Canada
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhocnets2009,Canada,http://dbpedia.org/resource/Canada
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhoc-now2011,Germany,http://dbpedia.org/resource/Germany
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhocnets2014,Greece,http://dbpedia.org/resource/Greece
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhocnets2012,France,http://dbpedia.org/resource/France
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhocnets2013,Spain,http://dbpedia.org/resource/Spain
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhoc-now2014,Spain,http://dbpedia.org/resource/Spain
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhoc-now2010,Canada,http://dbpedia.org/resource/Canada
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhocnets2011,France,http://dbpedia.org/resource/France
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhoc-now2008,France,http://dbpedia.org/resource/France
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhoc-now2003,Canada,http://dbpedia.org/resource/Canada
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhoc-now2013,Poland,http://dbpedia.org/resource/Poland
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhoc-now2009,Spain,http://dbpedia.org/resource/Spain
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhoc-now2012,Serbia,http://dbpedia.org/resource/Serbia
http://lod.springer.com/data/ontology/property/confCountry,http://lod.springer.com/data/conference/adhoc-now2005,Mexico,http://dbpedia.org/resource/Mexico
